nome_do_estabelecimento,id_da_empresa,segmento,pico_horario_transacoes,tipo_transacao,data_hora,valor,porte_empresa,tempo_empresa_anos
Padaria Pão Quente,749201,Alimentício,07:00-09:00,Débito,2025-07-02 08:10:15,22.50,Pequena,4
Sapataria Passo Certo,492013,Varejo,16:00-18:00,Crédito,2025-07-02 17:30:40,179.90,Pequena,7
Loja Estilo Moderno,193847,Varejo,17:00-19:00,PIX,2025-07-02 18:15:25,310.00,Média,9
InovaTech Software,692018,Tecnologia,14:00-16:00,Crédito,2025-07-02 15:00:00,12500.00,Média,8
Restaurante Sabor Divino,583920,Alimentício,12:00-14:00,Vale Refeição,2025-07-03 12:50:11,88.00,Pequena,6
Agência de Viagens Mundo,602938,Serviços,16:00-18:00,Crédito,2025-07-03 16:20:00,4200.00,Média,12
Eletrônicos Tech Point,602938,Varejo,14:00-16:00,Crédito,2025-07-03 22:10:05,1.25,Média,9
Eletrônicos Tech Point,602938,Varejo,14:00-16:00,Crédito,2025-07-03 22:11:30,9850.00,Média,9
Banco Futuro,482910,Serviços Financeiros,10:00-16:00,PIX,2025-07-03 11:45:30,15000.00,Grande,26
Magazine Casa Feliz,302918,Varejo,18:00-20:00,Crédito,2025-07-03 19:05:12,750.00,Grande,19
Padaria Pão Quente,749201,Alimentício,07:00-09:00,Crédito,2025-07-04 02:45:10,8540.00,Pequena,4
Supermercado Preço Bom,829103,Alimentício,19:00-21:00,Débito,2025-07-04 09:30:15,312.40,Grande,23
Sapataria Passo Certo,492013,Varejo,16:00-18:00,PIX,2025-07-04 10:31:15,112.50,Pequena,7
Sapataria Passo Certo,492013,Varejo,16:00-18:00,PIX,2025-07-04 10:31:48,112.50,Pequena,7
Sapataria Passo Certo,492013,Varejo,16:00-18:00,PIX,2025-07-04 10:32:05,112.50,Pequena,7
Sapataria Passo Certo,492013,Varejo,16:00-18:00,PIX,2025-07-04 10:32:31,112.50,Pequena,7
Restaurante Sabor Divino,583920,Alimentício,12:00-14:00,Débito,2025-07-04 03:15:22,230.80,Pequena,6
Banco Futuro,482910,Serviços Financeiros,10:00-16:00,Vale Refeição,2025-07-04 10:50:00,150.00,Grande,26
Loja Estilo Moderno,193847,Varejo,17:00-19:00,Débito,2025-07-04 11:20:50,95.00,Média,9
Magazine Casa Feliz,302918,Varejo,18:00-20:00,PIX,2025-07-04 23:58:10,6740.00,Grande,19
Restaurante Sabor Divino,583920,Alimentício,12:00-14:00,Vale Refeição,2025-07-04 13:10:00,4950.00,Pequena,6
Padaria Pão Quente,749201,Alimentício,07:00-09:00,Débito,2025-07-02 08:10:15,22.50,Pequena,4
Sapataria Passo Certo,492013,Varejo,16:00-18:00,Crédito,2025-07-02 17:30:40,179.90,Pequena,7
Loja Estilo Moderno,193847,Varejo,17:00-19:00,PIX,2025-07-02 18:15:25,310.00,Média,9
InovaTech Software,692018,Tecnologia,14:00-16:00,Crédito,2025-07-02 15:00:00,12500.00,Média,8
Restaurante Sabor Divino,583920,Alimentício,12:00-14:00,Vale Refeição,2025-07-03 12:50:11,88.00,Pequena,6
Agência de Viagens Mundo,602938,Serviços,16:00-18:00,Crédito,2025-07-03 16:20:00,4200.00,Média,12
Eletrônicos Tech Point,602938,Varejo,14:00-16:00,Crédito,2025-07-03 22:10:05,1.25,Média,9
Eletrônicos Tech Point,602938,Varejo,14:00-16:00,Crédito,2025-07-03 22:11:30,9850.00,Média,9
Banco Futuro,482910,Serviços Financeiros,10:00-16:00,PIX,2025-07-03 11:45:30,15000.00,Grande,26
Magazine Casa Feliz,302918,Varejo,18:00-20:00,Crédito,2025-07-03 19:05:12,750.00,Grande,19
Padaria Pão Quente,749201,Alimentício,07:00-09:00,Crédito,2025-07-04 02:45:10,8540.00,Pequena,4
Supermercado Preço Bom,829103,Alimentício,19:00-21:00,Débito,2025-07-04 09:30:15,312.40,Grande,23
Sapataria Passo Certo,492013,Varejo,16:00-18:00,PIX,2025-07-04 10:31:15,112.50,Pequena,7
Sapataria Passo Certo,492013,Varejo,16:00-18:00,PIX,2025-07-04 10:31:48,112.50,Pequena,7
Sapataria Passo Certo,492013,Varejo,16:00-18:00,PIX,2025-07-04 10:32:05,112.50,Pequena,7
Sapataria Passo Certo,492013,Varejo,16:00-18:00,PIX,2025-07-04 10:32:31,112.50,Pequena,7
